48,00;"STAT";"9";;;"ihm4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49,00;"STAT";"9";;;"ihm5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50,00;"STAT";"9";;7;"med1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51,00;"STAT";"9";;6;"stat1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52,00;"FRQS";"1";;1;"FREQUENCE_SYSTEME";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53,00;"MDC ";"2";"1";1;"MDCA";20 00 00 00 ;"20000000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54,00;"LND ";"2";"2";;"LNDA_ComPc-1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55,00;"LND ";"2";"1";;"LNDA_ComPc-2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56,00;"MDC ";"2";"2";1;"MDCB";20 00 00 00 ;"20000000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57,00;"LND ";"2";"2";;"LNDB_ComPc-1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58,00;"LND ";"2";"1";;"LNDB_ComPc-2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59,00;"SDC ";"2";"1";1;"SDCA-0";20 01 00 00 ;"20010000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60,00;"LND ";"2";"1";;"LNDA-0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61,00;"SDC ";"2";"2";1;"SDCB-0";20 01 00 00 ;"20010000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62,00;"LND ";"2";"2";;"LNDB-0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67,00;"JIF ";"2";"1";1;"JIFA-2B00";20 02 00 00 ;"20020000";;;;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68,00;"LND ";"2";"1";;"LNDA-2B00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69,00;"JIF ";"2";"2";1;"JIFB-4B00";20 02 00 00 ;"20020000";;;;42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70,00;"LND ";"2";"2";;"LNDB-4B00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78,00;"SALI";"2";;1;"SALI-1";;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79,00;"CSAL";"2";;1;"DCC-1 ISOs-2A";;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80,00;"CSAL";"2";;2;"DCC-2 ISOs-2A";;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81,00;"CSAL";"2";;3;"DCC-1 ISOs-2F";;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82,00;"CSAL";"2";;4;"DCC-2 ISOs-2F";;;;;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83,00;"CSAL";"2";;5;"DCC-1 ISOs-1F";;;;;;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84,00;"CSAL";"2";;6;"DCC-2 ISOs-1F";;;;;;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85,00;"CSAL";"2";;7;"DCC-1 ISOs-4A";;;;;;9;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86,00;"CSAL";"2";;8;"DCC-2 ISOs-4A";;;;;;10;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87,00;"CSAL";"2";;9;"DCC-1 ISOs-4F";;;;;;11;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88,00;"CSAL";"2";;10;"DCC-2 ISOs-4F";;;;;;12;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91,00;"CSAL";"2";;13;"DCC-1 ISOs-5F";;;;;;15;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92,00;"CSAL";"2";;14;"DCC-2 ISOs-5F";;;;;;16;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93,00;"SRO ";"2";;1;"SRO-1_ALIF-1";;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94,00;"CSRO";"2";;1;"Horloge JIFs";;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95,00;"CSRO";"2";;2;"25% POs";;;;;;2;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96,00;"CSRO";"2";;3;"25% Lignes";;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97,00;"GPIF";"2";;1;"GPIF_6B";20 03 00 00 ;"20030000";;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98,00;"LNP ";"2";"1";;"LNPA_2B00-3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99,00;"LNP ";"2";"2";;"LNPB_4B00-3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100,00;"PTEL";"2";;1;"EPOS_001";20 03 01 00 ;"20030100";;;;6;36;0;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;"11";;
101,00;"PTAC";"2";"0";146;"POTAC_01";20 03 01 00 ;"20030100";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102,00;"LNP ";"2";"1";;"LNPA_2B01-0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103,00;"LNP ";"2";"2";;"LNPB_4B01-0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104,00;"JIF ";"2";"1";2;"JIFA-2B01";20 02 01 00 ;"20020100";;;;40;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105,00;"LND ";"2";"1";;"LNDA-2B01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106,00;"JIF ";"2";"2";2;"JIFB-4B01";20 02 01 00 ;"20020100";;;;40;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107,00;"LND ";"2";"2";;"LNDB-4B01";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108,00;"LIF ";"2";;1;"6B_0_T2";20 03 00 08 ;"20030008";;;;;1;7;"1204210023030B0001FFFFFF803C3C00";;;;;;337190;;;;;;;;;;;;;;;;;;;;;;;;
109,00;"LINE";"2";"0";;"T2 0164547510";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110,00;"CNUM";"2";;1;"HORLOGE";;;;;;;;;;;;;;;;;;;478;0;"3699";;;;;;;;;;;;;;;;;"HORLO
3699";
116,00;"UCE ";"0";;1;"UCE_TN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119,00;"NSDA";"2";;1;;;;;;;;;;;;;;;;;;;7510;;;;;;;;;;;;;;;;;;;;;
122,00;"FX  ";"2";;3;"Faisceau_Numeris_1";;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123,00;"JIF ";"2";"1";3;"JIFA-2B02";20 02 02 00 ;"20020200";;;;40;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124,00;"LND ";"2";"1";;"LNDA-2B02";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125,00;"JIF ";"2";"2";3;"JIFB-4B02";20 02 02 00 ;"20020200";;;;40;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126,00;"LND ";"2";"2";;"LNDB-4B02";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127,00;"JIF ";"2";"1";4;"JIFA-2B03";20 02 03 00 ;"20020300";;;;40;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128,00;"LND ";"2";"1";;"LNDA-2B03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129,00;"JIF ";"2";"2";4;"JIFB-4B03";20 02 03 00 ;"20020300";;;;40;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130,00;"LND ";"2";"2";;"LNDB-4B03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132,00;"LND ";"2";"1";;"LNDA-2B04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133,00;"JIF ";"2";"2";5;"JIFB-4B04";20 02 04 00 ;"20020400";;;;40;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134,00;"LND ";"2";"2";;"LNDB-4B04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136,00;"LND ";"2";"1";;"LNDA-2B05";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137,00;"JIF ";"2";"2";6;"JIFB-4B05";20 02 05 00 ;"20020500";;;;40;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138,00;"LND ";"2";"2";;"LNDB-4B05";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140,00;"LND ";"2";"1";;"LNDA-2B06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142,00;"LND ";"2";"2";;"LNDB-4B06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143,00;"JIF ";"2";"1";8;"JIFA-2B07";20 02 07 00 ;"20020700";;;;40;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144,00;"LND ";"2";"1";;"LNDA-2B07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146,00;"LND ";"2";"2";;"LNDB-4B07";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
